zone,state,eaid,lga,urca_cat,hhid,q102,q103,q104,q105,q106,q107,q108,q109,q110,q201,q202,q203_1,q203_2,q203_3,q203_4,q204,q205,q206,q207_1,q207_2,q207_3,q208,q209,q210,q210_1,q211,q211__1,q211__2,q211__3,q211__4,q211__5,q211__6,q211__7,q211__8,q211__9,q211__10,q211__11,q211__12,q211__0,q211__96,q211_1,q212,q212_1,q213,q213_1,q213_1__1,q213_1__2,q213_1__96,q214,q214__1,q214__2,q214__3,q214__4,q214__5,q214__6,q214__7,q214__8,q214__9,q214__10,q214__11,q214__12,q214__13,q214__96,q215,q215_1,q215_2,q216,q216__1,q216__2,q216__3,q216__4,q216__5,q216__6,q216__7,q216__8,q216__9,q216__10,q216__11,q216__12,q216__13,q217,q217__1,q217__2,q217__3,q217__4,q217__5,q217__6,q217__7,q217__8,q217__9,q217__10,q217__11,q217__12,q217__13,q218,q219,q219__1,q219__2,q219__3,q219__4,q219__5,q219__6,q219__99,q219__96,q219__98,q219_1,q220,q220_1,q221,q221_1,q222,q223,q224,q224_1,q224_2,q301,q301__1,q301__2,q301__3,q301__4,q301__5,q301__6,q301__7,q301__8,q301__9,q301__10,q301__11,q301__12,q301__13,q301__14,q301__0,q301__96,q302,q303,q304_1,q304_2,q304_3,q304_4,q304_5,q304_6,q304_7,q304_8,q304_9,q304_10,q304_10__1,q304_10__2,q304_10__3,q304_10__4,q304_10__5,q304_10__6,q304_10__7,q304_10__0,q304_10__96,q305_1,q305_2,q305_3,q305_4,q305_5,q305_6,q305_7,q306_1,q306_2,q306_2__1,q306_2__2,q306_2__3,q306_2__4,q306_2__5,q306_2__6,q306_2__7,q306_2__8,q306_2__9,q306_2__10,q306_2__11,q306_2__12,q306_2__13,q306_3,q306_4,q306_5,q306_6,q306_7,q306_8,q306_9,q306_10,q306_11,q306_12,q307_1,q307_2,q307_2__1,q307_2__2,q307_2__3,q307_2__4,q307_2__5,q307_2__6,q307_2__7,q307_2__8,q307_2__9,q307_2__10,q307_2__11,q307_2__12,q307_2__13,q307_3,q307_4,q307_5,q307_6,q307_7,q307_8,q307_9,q307_10,q307_11,q307_12,q308,q309,q401,q401__1,q401__2,q401__3,q401__4,q401__5,q401__6,q401__99,q401__96,q401__98,q401_1,q402,q402__1,q402__2,q402__3,q402__4,q402__5,q402__6,q404,q404__1,q404__2,q404__3,q404__4,q404__5,q404__6,q404__7,q404__8,q404__9,q404__10,q404__11,q404__0,q404__96,q404_1,q405,q405_1,q405_1__1,q405_1__2,q405_1__3,q405_1__4,q405_1__5,q405_1__6,q405_1__7,q405_1__8,q405_1__9,q405_1__10,q405_1__11,q405_1__12,q405_1__13,q405_1__96,q405_2,q501,q501__1,q501__2,q501__3,q501__4,q501__5,q501__96,q503,q503__1,q503__2,q503__3,q503__4,q503__5,q503__6,q503__99,q503__96,q503__98,q503_1,q604_1,q604_2,q604_3,q604_4,q604_5,q604_6,natweight
North Central,Niger,NI_197,mashegu,<1hr to small city/town+,d8af8ab5-30ab-4d9f-bfe4-81231dbe5dbf,1,NA,1,1,36,2,NA,NA,NA,5,4,13,4,1,0,2,8,6,0,2,0,22,14,96,Politics,2 96,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Politics and farming for consumption,1,1,1,1,1,0,0,1 11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,6 7,0,0,0,0,0,1,1,0,0,0,0,0,0,12 1 2,1,1,0,0,0,0,0,0,0,0,0,1,0,7000,1,1,0,0,0,0,0,NA,0,0,NA,96,Kambari,96,Kambari,4,5,1,1,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,4,3,20,0,0,3000,15000,3000,2,2,1,2000,1,1,0,0,0,0,0,NA,0,0,NA,1 3 4 6,1,0,1,1,0,1,2 11,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1,1,0,0,0,0,0,NA,0,0,NA,4,2,3,2,3,3,0.039140725
North Central,Niger,NI_197,mashegu,<1hr to small city/town+,e8245d5c-8130-4e78-b4b0-1053b7ecbc9b,1,NA,1,1,60,2,NA,NA,NA,6,2,4,3,2,1,3,9,6,0,0,0,14,13,1,NA,1 3 96,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Farming for consumption,0,NA,1,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,8,0,0,0,0,0,0,0,1,0,0,0,0,0,11 12,0,0,0,0,0,0,0,0,0,0,1,1,0,5000,1,1,0,0,0,0,0,NA,0,0,NA,96,Kambari,96,Kambari,4,5,1,0,NA,1 5 7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,2,60000,6000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,6,3,18,0,0,5000,8000,3000,1,2,1,1000,1,1,0,0,0,0,0,NA,0,0,NA,1 2 3 4 6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1,1,0,0,0,0,0,NA,0,0,NA,4,2,3,1,3,3,0.039140725
North West,Kano,KN_104,garun_malam,<1hr to large city,435c8e27-517a-46b9-af04-48830e086d7a,1,NA,1,1,45,1,NA,NA,NA,3,6,3,2,1,0,1,5,6,1,1,0,14,8,2,NA,2 8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,1,1,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,10 11 1,1,0,0,0,0,0,0,0,0,1,1,0,0,21000,1,1,0,0,0,0,0,0,0,0,NA,3,NA,3,NA,1,1,1,0,NA,1 6 7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,9 10 3 4 5,0,0,1,1,1,0,0,0,1,1,0,0,0,12,7,12,0,0,1000,3000,2000,3,3,0,NA,1,1,0,0,0,0,0,0,0,0,NA,1 3 6 4 2,1,1,1,1,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,NA,4,3,4,2,4,1,0.109779068
North West,Kano,KN_104,garun_malam,<1hr to large city,9303fa53-9fd2-41a9-9f0d-9567dbe5168e,1,NA,1,1,47,1,NA,NA,NA,3,15,7,2,1,0,1,10,6,3,1,0,14,8,2,NA,2 7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,1,1,0,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1 4 3 8,1,0,1,1,0,0,0,1,0,0,0,0,0,12 11 10,0,0,0,0,0,0,0,0,0,1,1,1,0,17500,1,1,0,0,0,0,0,0,0,0,NA,3,NA,3,NA,1,1,1,0,NA,1 5 6 7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,9 10 3 4 12,0,0,1,1,0,0,0,0,1,1,0,1,0,12,7,12,0,0,2500,5000,2000,4,3,0,NA,1,1,0,0,0,0,0,0,0,0,NA,1 2 4 5 6 3,1,1,1,1,1,1,2 11 1,1,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1 2,1,1,0,0,0,0,0,0,0,NA,4,3,4,3,4,2,0.109779068
North West,Kano,KN_104,garun_malam,<1hr to large city,c62cc5a5-29c5-423b-9543-a7b05bda454b,1,NA,1,1,45,1,NA,NA,NA,2,1,4,1,1,0,2,3,6,0,1,0,24,24,2,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,10 11 12,0,0,0,0,0,0,0,0,0,1,1,1,0,6000,1,1,0,0,0,0,0,0,0,0,NA,3,NA,3,NA,1,1,1,0,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3 4 5,0,0,1,1,1,0,0,0,0,0,0,0,0,5,7,19,0,0,2000,4500,1000,4,2,1,4000,1 2,1,1,0,0,0,0,0,0,0,NA,1 3,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1 2,1,1,0,0,0,0,0,0,0,NA,4,2,4,2,4,2,0.109779068
North West,Kaduna,KD_87,chikun,<1hr to large city,d3cb220c-85a6-4f47-b6f3-16afac111a0c,1,NA,1,1,61,1,NA,NA,NA,3,7,1,0,2,1,4,5,6,0,0,1,22,20,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,11 10,0,0,0,0,0,0,0,0,0,1,1,0,0,4000,1 2,1,1,0,0,0,0,NA,0,0,NA,96,Adara,96,Adara,5,5,1,1,NA,1 5 7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,32000,5000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,22,0,0,5000,22500,5000,1,1,0,NA,1 2,1,1,0,0,0,0,NA,0,0,NA,1 3 2 6 4,1,1,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1 2,1,1,0,0,0,0,NA,0,0,NA,1,1,3,1,2,2,0.109779068
North West,Kaduna,KD_89,giwa,<1hr to large city,2778d899-69d6-4943-896f-de0175716609,1,NA,1,1,43,1,NA,NA,NA,4,6,5,3,1,0,2,10,6,1,1,1,14,13,1,NA,1 8 4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,NA,1,1,1,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,7 8 9 3 4 5 6,0,0,1,1,1,1,1,1,1,0,0,0,0,10 11 12 1 2,1,1,0,0,0,0,0,0,0,1,1,1,0,5000,1 2,1,1,0,0,0,0,NA,0,0,NA,3,NA,3,NA,4,5,1,1,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,5 6 7 8 9,0,0,0,0,1,1,1,1,1,0,0,0,0,6,4,18,0,0,5000,4000,3000,3,3,1,3000,1 2,1,1,0,0,0,0,NA,0,0,NA,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1 2,1,1,0,0,0,0,NA,0,0,NA,2,3,2,2,2,2,0.109779068
North Central,Niger,NI_197,mashegu,<1hr to small city/town+,6acc2fae-6517-4360-a48a-0b73aa89953c,1,NA,1,1,65,2,NA,NA,NA,13,0,8,10,2,1,3,9,6,0,3,0,14,8,1,NA,1 2 96,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Farming for consumption,0,NA,0,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,11 12,0,0,0,0,0,0,0,0,0,0,1,1,0,4000,1,1,0,0,0,0,0,NA,0,0,NA,96,Kambari,96,Kambari,4,5,1,0,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,8,4,16,0,0,2000,3000,1000,3,3,1,1000,1,1,0,0,0,0,0,NA,0,0,NA,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1,1,0,0,0,0,0,NA,0,0,NA,4,2,3,1,3,3,0.039140725
North Central,Niger,NI_197,mashegu,<1hr to small city/town+,2fb2310c-02b8-4c8c-97de-024b05008625,1,NA,1,1,60,2,NA,NA,NA,10,0,4,7,2,1,2,8,6,0,1,0,14,8,1,NA,1 96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Brick layer,0,NA,0,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,5000,1,1,0,0,0,0,0,NA,0,0,NA,96,Kambari,96,Kambari,4,5,1,0,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,5,4,19,0,0,4000,6000,1000,3,2,1,1000,1,1,0,0,0,0,0,NA,0,0,NA,1 3 4,1,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1,1,0,0,0,0,0,NA,0,0,NA,4,2,3,1,3,3,0.039140725
North Central,Niger,NI_197,mashegu,<1hr to small city/town+,80a0c152-d59a-497e-9ae6-ecd97e4ce53f,1,NA,4,1,24,96,1,70,1,8,0,0,6,1,1,2,5,6,1,1,0,25,24,7,NA,2 7 96,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Farming for consumption,0,NA,0,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,2 3 1 4,1,1,1,1,0,0,0,0,0,0,0,0,0,5000,96,0,0,0,0,0,0,NA,1,0,Father,96,Bogungi,96,Bogungi,4,5,1,0,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,6,3,18,0,0,4000,6000,1000,3,3,1,1000,96,0,0,0,0,0,0,NA,1,0,Father,1 2 3,1,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,96,0,0,0,0,0,0,NA,1,0,Father,4,2,3,2,3,3,0.039140725
