household_size,number_of_rooms,daily_supply_hours,light_bulb_count,fan_count,television_count,fridge_count,ac_count,average_ac_usage_hours,bulb_energy_proxy,fan_energy_proxy,tv_energy_proxy,fridge_energy_proxy,ac_energy_proxy,total_selected_appliances,cooling_appliance_count,room_person_ratio,estimated_monthly_kwh
18,8,4.0,15,8,2,1,0,0,60.0,32.0,8.0,12,0,26,8,0.4444444444444444,39.3
10,9,6.0,12,1,1,0,0,0,72.0,6.0,4.0,0,0,14,1,0.9,12.375
6,5,12.0,6,2,1,0,0,0,36.0,16.0,4.0,0,0,9,2,0.8333333333333334,51.22500000000001
10,10,12.0,20,6,1,1,0,0,120.0,48.0,4.0,12,0,28,6,1.0,153.2325
6,3,5.0,3,0,0,0,0,0,15.0,0.0,0.0,0,0,3,0,0.5,4.875
4,5,4.0,5,1,1,1,0,0,20.0,4.0,4.0,12,0,8,1,1.25,15.6
9,10,6.0,10,0,0,0,0,0,60.0,0.0,0.0,0,0,10,0,1.1111111111111112,4.8
21,9,8.0,8,0,0,0,0,0,48.0,0.0,0.0,0,0,8,0,0.42857142857142855,6.2
14,8,5.0,10,0,2,0,0,0,50.0,0.0,8.0,0,0,12,0,0.5714285714285714,9.65625
8,5,6.0,5,0,0,0,0,0,30.0,0.0,0.0,0,0,5,0,0.625,7.387499999999999
5,2,8.0,5,1,1,1,0,0,30.0,8.0,4.0,12,0,8,1,0.4,32.3
8,5,4.0,4,2,1,0,0,0,16.0,8.0,4.0,0,0,7,2,0.625,9.0
9,2,5.0,6,0,0,0,0,0,30.0,0.0,0.0,0,0,6,0,0.2222222222222222,3.28125
6,5,4.0,8,5,0,0,0,0,32.0,20.0,0.0,0,0,13,5,0.8333333333333334,13.14
11,3,2.0,5,0,1,0,0,0,10.0,0.0,2.0,0,0,6,0,0.2727272727272727,5.16
8,3,6.0,7,1,1,0,0,0,42.0,6.0,4.0,0,0,9,1,0.375,13.0875
